Kern Delta Water District
Wheeler Ridge - Maricopa Water Storage District
West Kern Water District
Belridge Water Storage District
Berrenda Mesa Water District
Semitropic Water Service District
Rosedale - Rio Bravo Water Storage District
Buena Vista Water Storage District
Cawelo Water District
Henry Miller Water District
Lost Hills Water District
