Tulare Irrigation District
Saucelito Irrigation District
Delano - Earlimart Irrigation District
Lower Tule River Irrigation District
Kern - Tulare Water District
Lindsay - Strathmore Irrigation District
Exeter Irrigation District
Lindmore Irrigation District
Porterville Irrigation District
Tea Pot Dome Water District
Vandalia Irrigation District
Terra Bella Irrigation District
Southern San Joaquin Municipal Utility District
Arvin - Edison Water Storage District
Shafter - Wasco Irrigation District
